#spec;afo id;file

BSI-eRp-ePA;O.Paid_4;doc/manual/requirement-notes.md:163
BSI-eRp-ePA;O.Paid_5;doc/manual/requirement-notes.md:163
BSI-eRp-ePA;O.Paid_6;doc/manual/requirement-notes.md:163
BSI-eRp-ePA;O.Paid_7;doc/manual/requirement-notes.md:163
BSI-eRp-ePA;O.Paid_8;doc/manual/requirement-notes.md:163
BSI-eRp-ePA;O.Paid_9;doc/manual/requirement-notes.md:163
BSI-eRp-ePA;O.Paid_10;doc/manual/requirement-notes.md:163
BSI-eRp-ePA;O.Pass_1;doc/manual/requirement-notes.md:139
BSI-eRp-ePA;O.Pass_1;Sources/eRpApp/Helper/PasswordStrengthTester.swift:54
BSI-eRp-ePA;O.Pass_2;doc/manual/requirement-notes.md:139
BSI-eRp-ePA;O.Pass_2;Sources/eRpApp/Helper/PasswordStrengthTester.swift:54
BSI-eRp-ePA;O.Pass_2;Sources/eRpApp/Screens/Onboarding/OnboardingRegisterPasswordView.swift:110
BSI-eRp-ePA;O.Pass_2;Sources/eRpApp/Screens/Onboarding/RegisterPasswordDomain.swift:90
BSI-eRp-ePA;O.Pass_2;Sources/eRpApp/Screens/Settings/AppSecurity/CreatePasswordView.swift:94
BSI-eRp-ePA;O.Pass_2;Sources/eRpApp/Screens/Settings/AppSecurity/CreatePasswordDomain.swift:109
BSI-eRp-ePA;O.Pass_3;doc/manual/requirement-notes.md:140
BSI-eRp-ePA;O.Pass_3;Sources/eRpApp/Screens/Settings/AppSecurity/CreatePasswordView.swift:27
BSI-eRp-ePA;O.Pass_4;doc/manual/requirement-notes.md:141
BSI-eRp-ePA;O.Pass_4;Sources/eRpApp/Screens/AppAuthentication/AppAuthenticationView.swift:42
BSI-eRp-ePA;O.Pass_4;Sources/eRpApp/Screens/AppAuthentication/AppAuthenticationDomain.swift:138
BSI-eRp-ePA;O.Pass_5;doc/manual/requirement-notes.md:142
BSI-eRp-ePA;O.Pass_5;Sources/eRpApp/Session/Helper/AppSecurityManager.swift:79
BSI-eRp-ePA;O.Pass_5;Sources/eRpApp/Session/Helper/AppSecurityManager.swift:85
BSI-eRp-ePA;O.Plat_1;doc/manual/requirement-notes.md:175
BSI-eRp-ePA;O.Plat_1;Sources/eRpApp/Screens/Main/MainView.swift:105
BSI-eRp-ePA;O.Plat_1;Sources/eRpApp/Session/Helper/DeviceSecurityManager.swift:66
BSI-eRp-ePA;O.Plat_1;Sources/eRpApp/Session/Helper/DeviceSecurityManager.swift:76
BSI-eRp-ePA;O.Plat_2;doc/manual/requirement-notes.md:176
BSI-eRp-ePA;O.Plat_3;doc/manual/requirement-notes.md:177
BSI-eRp-ePA;O.Plat_4;doc/manual/requirement-notes.md:178
BSI-eRp-ePA;O.Plat_5;doc/manual/requirement-notes.md:179
BSI-eRp-ePA;O.Plat_6;doc/manual/requirement-notes.md:180
BSI-eRp-ePA;O.Plat_7;doc/manual/requirement-notes.md:181
BSI-eRp-ePA;O.Plat_8;doc/manual/requirement-notes.md:182
BSI-eRp-ePA;O.Plat_9;doc/manual/requirement-notes.md:183
BSI-eRp-ePA;O.Plat_9;Sources/eRpApp/SceneDelegate.swift:264
BSI-eRp-ePA;O.Plat_9;Sources/eRpApp/SceneDelegate.swift:184
BSI-eRp-ePA;O.Plat_10;doc/manual/requirement-notes.md:184
BSI-eRp-ePA;O.Plat_10;Sources/FeatureCardWall/ExtAuth/CardWallExtAuthConfirmationDomain.swift:109
BSI-eRp-ePA;O.Plat_10;Sources/eRpApp/Screens/Settings/DataPrivacyTermsOfUseNavigationDelegate.swift:26
BSI-eRp-ePA;O.Plat_10;Sources/eRpApp/Screens/Settings/DataPrivacy/DataPrivacyView.swift:40
BSI-eRp-ePA;O.Plat_10;Sources/FeatureCardWall/ExtAuth/CardWallExtAuthConfirmationDomain.swift:124
BSI-eRp-ePA;O.Plat_10;Sources/FeatureCardWall/Introduction/CardWallIntroductionDomain.swift:266
